OBJECTID,Shape,COMPKEY,ELMNTKEY,SEGKEY,UNITID,UNITDESC,RECEIPT_NBR,PANDD_NBR,PAIDAREA,SUBAREA,SIDE
27,(47.612945696000054: -122.34692281799994),527786,9278,9197,PSL-B082,BELL ST 0007 BLOCK SE SIDE ( 113) 113 FT NE/O WESTERN AVE (23-00-57)                                                                                                                                                                                           ,B082,2082002,Belltown,South,SE
28,(47.656467414000076: -122.31335708699999),529907,35841,13218,PSL-L037,UNIVERSITY WAY NE 0403 BLOCK W SIDE (  76) 76 FT N/O NE CAMPUS WB PY (NEUW-40-45)                                                                                                                                                                              ,L037,12037002,University District,Core,W
29,(47.61169937500006: -122.34549627099994),527709,58810,13507,PSL-B078,WESTERN AVE 0210 BLOCK NE SIDE ( 241) 241 FT NW/O LENORA ST (OW-21-18)                                                                                                                                                                                         ,B078,2078002,Belltown,South,NE
30,(47.61136542300005: -122.32477857199996),533949,80746,12782,PSL-H516,SENECA ST 0120 BLOCK SE SIDE ( 126) 126 FT NE/O MINOR AVE (12-12-09)                                                                                                                                                                                           ,H516,8516002,First Hill,,SE
31,(47.603855647000046: -122.33333820999997),527873,32550,9729,PSL-D021,COLUMBIA ST 0020 BLOCK SE SIDE ( 101) 101 FT NE/O 2ND AVE (8-02-07)                                                                                                                                                                                            ,D021,4021002,Commercial Core,Financial,SE
32,(47.66254380700008: -122.31300868599999),529916,35846,13222,PSL-L050,UNIVERSITY WAY NE 0450 BLOCK E SIDE ( 441) 441 FT N/O NE 45TH ST (NEUW-45-36)                                                                                                                                                                                  ,L050,12050002,University District,Core,E
33,(47.60719240800006: -122.31690177799999),528472,46729,1530,PSL-I002,12TH AVE 0055 BLOCK W SIDE ( 130) 130 FT N/O E BARCLAY CT (E12-05-29)                                                                                                                                                                                          ,I002,9002002,12th Avenue,,W
34,(47.609890919000065: -122.32170536199999),529448,34309,11673,PSL-H082,MARION ST 0120 BLOCK NW SIDE ( 491) 491 FT NE/O MINOR AVE (9-12-46)                                                                                                                                                                                            ,H082,8082002,First Hill,,NW
35,(47.61467978100006: -122.33549726999996),528257,58222,12904,PSL-J160,STEWART ST 0070 BLOCK SE SIDE ( 197) 197 FT NE/O 7TH AVE (19-07-17)                                                                                                                                                                                            ,J160,10160302,Denny Triangle,South,SE
36,(47.60886633600006: -122.323762381),529445,11674,11672,PSL-H067,MARION ST 0110 BLOCK SE SIDE ( 177) 177 FT NE/O BOREN AVE (9-11-17)                                                                                                                                                                                            ,H067,8067002,First Hill,,SE
37,(47.60943314000008: -122.32380558899996),529442,11869,11871,PSL-H064,MINOR AVE 0090 BLOCK SW SIDE ( 149) 149 FT NW/O MARION ST (MR-09-13)                                                                                                                                                                                           ,H064,8064002,First Hill,,SW
38,(47.62820766600004: -122.33178795999999),529527,94611,273850,PSL-U229,FAIRVIEW NR AVE N 0100 BLOCK SE SIDE ( 203) 203 FT NE/O WARD ST (NFV-10-40)                                                                                                                                                                                    ,U229,19229002,South Lake Union,North,SE
39,(47.61813880900007: -122.35478589699994),528155,24049,1023,PSL-J201,1ST AVE 0301 BLOCK SW SIDE ( 178) 178 FT NW/O WARREN PL (01-30-21)                                                                                                                                                                                             ,J201,10201004,Belltown,North,SW
40,(47.611699722000026: -122.32280418199997),529440,77313,9371,PSL-H054,BOYLSTON AVE 0110 BLOCK SW SIDE ( 110) 110 FT NW/O SPRING ST (BN-11-09)                                                                                                                                                                                        ,H054,8054002,First Hill,,SW
41,(47.61506543300004: -122.34917415599995),528133,24046,1017,PSL-J186,1ST AVE 0250 BLOCK NE SIDE ( 148) 148 FT NW/O WALL ST (01-25-12)                                                                                                                                                                                               ,J186,10186004,Belltown,North,NE
42,(47.61764488000006: -122.34756269299999),529438,6198,6143,PSL-J255,4TH AVE 0260 BLOCK NE SIDE ( 166) 166 FT NW/O VINE ST (04-26-18)                                                                                                                                                                                               ,J255,10255004,Belltown,North,NE
43,(47.66449528000004: -122.31185028699997),529414,2090,2036,PSL-L099,15TH AVE NE 0470 BLOCK E SIDE ( 507) 507 FT N/O NE 47TH ST (NE15-47-44)                                                                                                                                                                                        ,L099,12099104,University District,Edge,E
44,(47.65986255400003: -122.31284712799999),529409,62033,16813,PSL-L095,NE 43RD ST 0140 BLOCK N SIDE (  59) 59 FT E/O UNIVERSITY WAY NE (NE43-14-04)                                                                                                                                                                                   ,L095,12095002,University District,Core,N
45,(47.60928605600003: -122.32276645099995),529449,34310,11673,PSL-H083,MARION ST 0120 BLOCK SE SIDE ( 151) 151 FT NE/O MINOR AVE (9-12-13)                                                                                                                                                                                            ,H083,8083002,First Hill,,SE
46,(47.658235982000065: -122.31279675299999),529407,16942,16792,PSL-L088,NE 42ND ST 0140 BLOCK S SIDE (  81) 81 FT E/O UNIVERSITY WAY NE (NE42-14-07)                                                                                                                                                                                   ,L088,12088002,University District,Core,S
47,(47.606207364000056: -122.330458454),527893,79653,11667,PSL-D039,MARION ST 0050 BLOCK NW SIDE ( 193) 193 FT NE/O 5TH AVE (9-05-14)                                                                                                                                                                                              ,D039,4039002,Commercial Core,Financial,NW
48,(47.60657351100008: -122.31690197599994),528469,46725,1529,PSL-I001,12TH AVE 0050 BLOCK W SIDE ( 115) 115 FT N/O E JEFFERSON ST (E12-05-07)                                                                                                                                                                                        ,I001,9001002,12th Avenue,,W
49,(47.652105617000075: -122.31508387799994),529842,63125,17977,PSL-L135,NE BOAT ST 0110 BLOCK NE SIDE ( 744) 744 FT SE/O NE BOAT WR ST (NEBT-11-68)                                                                                                                                                                                    ,L135,12135002,University District,Core,NE
