OBJECTID,Shape,COMPKEY,ELMNTKEY,SEGKEY,UNITID,UNITDESC,RECEIPT_NBR,PANDD_NBR,PAIDAREA,SUBAREA,SIDE
456,(47.61537022600004: -122.35368822299995),540402,10222,10208,PSL-B505,ELLIOTT AVE 0280 BLOCK NE SIDE ( 142) 142 FT NW/O CLAY ST (OE-28-10)                                                                                                                                                                                           ,B505,2505004,Belltown,North,NE
457,(47.61830479900004: -122.34422600299996),491038,13353,13360,PSL-W050,WALL ST 0060 BLOCK NW SIDE (  87) 87 FT NE/O 6TH AVE (25-06-04)                                                                                                                                                                                                ,W050,21050004,Denny Triangle,North,NW
458,(47.624865906000025: -122.35291949099997),285800,2797,2775,PSL-S079,2ND AVE N 0060 BLOCK W SIDE (  86) 86 FT N/O MERCER ST (N02-06-05)                                                                                                                                                                                             ,S079,17079004,Uptown,Edge,W
459,(47.60902817200008: -122.32566386299999),595724,79578,11591,PSL-H154,MADISON ST 0100 BLOCK SE SIDE ( 136) 136 FT NE/O TERRY AVE (10-10-11)                                                                                                                                                                                          ,H154,8154002,First Hill,,SE
460,(47.60835820700004: -122.32528498899995),529431,34305,11671,PSL-H037,MARION ST 0100 BLOCK NW SIDE (  90) 90 FT NE/O TERRY AVE (9-10-08)                                                                                                                                                                                             ,H037,8037002,First Hill,,NW
461,(47.67934064800005: -122.32476155799998),281918,36309,13710,PSL-P102,WOODLAWN AVE NE 0700 BLOCK W SIDE (  80) 80 FT N/O NE RAVENNA WB BV (NEWN-70-07)                                                                                                                                                                               ,P102,15102002,Green Lake,,W
462,(47.61238359300006: -122.32062374699996),528349,54722,9445,PSL-H106,BROADWAY 0110 BLOCK E SIDE ( 400) 400 FT N/O HARVARD AVE (BY-11-32)                                                                                                                                                                                            ,H106,8106002,First Hill,,E
463,(47.61519300400005: -122.31755626199998),528308,60010,14637,PSL-G055,E PINE ST 0110 BLOCK S SIDE ( 134) 134 FT E/O 11TH AVE (E16-11-09)                                                                                                                                                                                             ,G055,7055002,Pike-Pine,,S
464,(47.615173464000065: -122.32024102699995),528306,37186,14634,PSL-G051,E PINE ST 0090 BLOCK S SIDE ( 112) 112 FT E/O BROADWAY (E16-09-07)                                                                                                                                                                                             ,G051,7051002,Pike-Pine,,S
465,(47.61446630200004: -122.33478026399996),528291,8389,8282,PSL-J151,8TH AVE 0180 BLOCK SW SIDE ( 206) 206 FT NW/O OLIVE WAY (08-18-17)                                                                                                                                                                                             ,J151,10151002,Denny Triangle,South,SW
466,(47.60909931300006: -122.32943664599998),528287,76186,8277,PSL-H020,8TH AVE 0110 BLOCK NE SIDE ( 158) 158 FT NW/O SPRING ST (08-11-12)                                                                                                                                                                                             ,H020,8020002,First Hill,,NE
467,(47.610143046000076: -122.32904637499996),528286,31297,8518,PSL-H005,9TH AVE 0120 BLOCK SW SIDE ( 123) 123 FT NW/O SENECA ST (09-12-11)                                                                                                                                                                                             ,H005,8005002,First Hill,,SW
468,(47.613182351000034: -122.32932950199995),528262,57518,12206,PSL-G037,PIKE ST 0100 BLOCK SE SIDE ( 159) 159 FT NE/O TERRY AVE (15-10-13)                                                                                                                                                                                             ,G037,7037102,Pike-Pine,,SE
469,(47.61416847600003: -122.32494671399996),528242,59953,14596,PSL-G026,E PIKE ST 0050 BLOCK N SIDE ( 120) 120 FT E/O SUMMIT AVE (E15-05-12)                                                                                                                                                                                           ,G026,7026002,Pike-Pine,,N
470,(47.61532182500008: -122.35271205999999),540814,77570,9682,PSL-B518,CLAY ST 0002 BLOCK SE SIDE ( 151) 151 FT NE/O ELLIOTT AVE (28-00-25)                                                                                                                                                                                           ,B518,2518004,Belltown,North,SE
471,(47.61361591800005: -122.35000876199996),540791,35942,13353,PSL-B522,WALL ST 0005 BLOCK SE SIDE ( 122) 122 FT NE/O ELLIOTT AVE (25-00-09)                                                                                                                                                                                           ,B522,2522004,Belltown,North,SE
472,(47.61415111600007: -122.32272590099996),528162,37133,14598,PSL-G019,E PIKE ST 0070 BLOCK N SIDE ( 156) 156 FT E/O BOYLSTON AVE (E15-07-16)                                                                                                                                                                                         ,G019,7019002,Pike-Pine,,N
473,(47.61115971600003: -122.33283584999998),527954,76046,8157,PSL-E022,7TH AVE 0140 BLOCK NE SIDE ( 201) 201 FT NW/O UNION ST (07-14-16)                                                                                                                                                                                              ,E022,5022102,Commercial Core,Retail,NE
474,(47.62017602900005: -122.34220939999994),338039,55374,10072,PSL-U294,DEXTER AVE N 0020 BLOCK E SIDE ( 147) 147 FT N/O JOHN ST (NDR-02-12)                                                                                                                                                                                           ,U294,19294002,South Lake Union,South,E
475,(47.66737772100004: -122.39902317099995),278021,94736,274368,PSL-K008,NW 54TH SR ST 0320 BLOCK N SIDE ( 142) 142 FT W/O 32ND AVE NW (NW54-32-14)                                                                                                                                                                                     ,K008,11008004,Ballard Locks,,N
476,(47.623349562000044: -122.357139916),282284,23873,23692,PSL-S033,W REPUBLICAN ST 0009 BLOCK N SIDE (  85) 85 FT W/O QUEEN ANNE AVE N (W5-00-06)                                                                                                                                                                                 ,S033,17033002,Uptown,Core,N
477,(47.61375764500008: -122.35178534899995),540759,58609,13299,PSL-B536,VINE ST 0002 BLOCK NW SIDE ( 156) 156 FT NE/O ALASKAN WAY (26-0X-64)                                                                                                                                                                                           ,B536,2536004,Belltown,North,NW
478,(47.63309641200004: -122.34031910799996),337120,120527,13551,PSL-T009,WESTLAKE EAST RDWY AVE N 0150 BLOCK E SIDE ( 235) 235 FT N/O GALER ST (NXE4-15-38)                                                                                                                                                                             ,T009,18009007,Westlake Ave N,,E
479,(47.609122813000056: -122.32636793399996),596534,13086,13108,PSL-H155,TERRY AVE 0100 BLOCK NE SIDE (  68) 68 FT NW/O MADISON ST (TY-10-04)                                                                                                                                                                                           ,H155,8155002,First Hill,,NE
480,(47.668580613000074: -122.38075754399995),279554,19486,19230,PSL-K016,NW MARKET ST 0180 BLOCK S SIDE ( 100) 100 FT W/O BARNES AVE NW (NWMT-18-11)                                                                                                                                                                                    ,K016,11016004,Ballard,Edge,S
481,(47.623208927000064: -122.357691021),282343,23874,23692,PSL-S036,W REPUBLICAN ST 0009 BLOCK S SIDE ( 220) 220 FT W/O QUEEN ANNE AVE N (W5-00-17)                                                                                                                                                                                ,S036,17036002,Uptown,Core,S
482,(47.61427874200007: -122.35182954999999),540705,10218,10206,PSL-B501,ELLIOTT AVE 0260 BLOCK NE SIDE ( 145) 145 FT NW/O VINE ST (OE-26-10)                                                                                                                                                                                           ,B501,2501004,Belltown,North,NE
483,(47.62433749600007: -122.32975586299995),336195,79789,11779,PSL-U074,MERCER ST 0130 BLOCK N SIDE ( 156) 156 FT E/O YALE AVE N (N6-13-12)                                                                                                                                                                                            ,U074,19074002,South Lake Union,South,N
484,(47.60880955500005: -122.34352175699996),282758,80193,12210,PSL-B118,PINE ST 0002 BLOCK NW SIDE (  35) 35 FT NE/O ALASKAN E RDWY WAY (16-0X-04)                                                                                                                                                                                     ,B118,2118004,Commercial Core,Waterfront,NW
485,(47.62433315100003: -122.33142676899996),336193,11785,11778,PSL-U072,MERCER ST 0125 BLOCK N SIDE (  53) 53 FT E/O PONTIUS AVE N (N6-12-54)                                                                                                                                                                                          ,U072,19072002,South Lake Union,South,N
486,(47.62106635100008: -122.33729733599995),339071,13109,13120,PSL-U132,TERRY AVE N 0030 BLOCK W SIDE (  57) 57 FT N/O THOMAS ST (NTY-03-03)                                                                                                                                                                                           ,U132,19132002,South Lake Union,South,W
487,(47.61226830100003: -122.34551024999996),527764,54514,9290,PSL-B077,BLANCHARD ST 0007 BLOCK SE SIDE (158.) 158.5 FT NE/O WESTERN AVE (22-00-57)                                                                                                                                                                                    ,B077,2077002,Belltown,South,SE
488,(47.62158207600004: -122.32076995699998),527988,54734,9453,PSL-F020,BROADWAY E 0030 BLOCK E SIDE ( 173) 173 FT N/O E THOMAS ST (EBY-03-06)                                                                                                                                                                                         ,F020,6020002,Capitol Hill,North,E
489,(47.61164153500005: -122.32652326099998),540514,35830,13209,PSL-H554,UNIVERSITY ST 0110 BLOCK SE SIDE ( 129) 129 FT NE/O BOREN AVE (13-11-11)                                                                                                                                                                                       ,H554,8554002,First Hill,,SE
490,(47.611818579000044: -122.322688761),529439,77314,9371,PSL-H053,BOYLSTON AVE 0110 BLOCK NE SIDE ( 130) 130 FT NW/O SPRING ST (BN-11-08)                                                                                                                                                                                        ,H053,8053002,First Hill,,NE
491,(47.61456181400007: -122.32458973199999),525953,54449,9233,PSL-G538,BELMONT AVE 0150 BLOCK W SIDE ( 149) 149 FT N/O E PIKE ST (BT-15-11)                                                                                                                                                                                           ,G538,7538002,Pike-Pine,,W
492,(47.60178619200008: -122.33117445299996),527620,81705,13764,PSL-A054,YESLER WAY 0020 BLOCK N SIDE ( 183) 183 FT E/O 2ND AVE (S1-02-12)                                                                                                                                                                                              ,A054,1054002,Pioneer Square,Edge,N
493,(47.625791108000044: -122.358391773),507907,91829,23699,PSL-S136,W ROY ST 0010 BLOCK N SIDE (  83) 83 FT W/O 1ST AVE W (W7-01-08)                                                                                                                                                                                               ,S136,17136004,Uptown,Edge,N
494,(47.61722411300008: -122.33538186499999),503944,13101,13116,PSL-W087,TERRY AVE 0200 BLOCK SW SIDE ( 115) 115 FT NW/O VIRGINIA ST (TY-20-09)                                                                                                                                                                                         ,W087,21087004,Denny Triangle,North,SW
495,(47.61480268100007: -122.35270288899994),540411,78122,10207,PSL-B504,ELLIOTT AVE 0270 BLOCK NE SIDE ( 137) 137 FT NW/O CEDAR ST (OE-27-10)                                                                                                                                                                                          ,B504,2504004,Belltown,North,NE
496,(47.66161344000005: -122.31302293299996),529915,35846,13222,PSL-L049,UNIVERSITY WAY NE 0450 BLOCK E SIDE ( 101) 101 FT N/O NE 45TH ST (NEUW-45-06)                                                                                                                                                                                  ,L049,12049002,University District,Core,E
497,(47.610095588000036: -122.32441122199998),529474,11873,11872,PSL-H108,MINOR AVE 0100 BLOCK SW SIDE ( 119) 119 FT NW/O MADISON ST (MR-10-11)                                                                                                                                                                                          ,H108,8108002,First Hill,,SW
498,(47.62313515200003: -122.33623840699994),339007,35198,12563,PSL-U181,REPUBLICAN ST 0100 BLOCK S SIDE ( 201) 201 FT E/O TERRY AVE N (N5-10-15)                                                                                                                                                                                       ,U181,19181002,South Lake Union,South,S
499,(47.65977834700004: -122.317245706),529891,16954,16809,PSL-L168,NE 43RD ST 0100 BLOCK S SIDE ( 103) 103 FT E/O ROOSEVELT N WAY NE (NE43-10-07)                                                                                                                                                                                 ,L168,12168004,University District,Edge,S
500,(47.61164369000005: -122.32558898099995),529433,79882,11874,PSL-H039,MINOR AVE 0120 BLOCK NE SIDE ( 142) 142 FT NW/O SENECA ST (MR-12-12)                                                                                                                                                                                           ,H039,8039002,First Hill,,NE
501,(47.60642581400003: -122.32485790599998),539941,77558,9667,PSL-H564,CHERRY ST 0090 BLOCK SE SIDE ( 124) 124 FT NE/O 9TH AVE (7-09-11)                                                                                                                                                                                              ,H564,8564002,First Hill,,SE
502,(47.66937778400006: -122.38721063999998),279735,86450,18464,PSL-K044,NW 56TH ST 0220 BLOCK S SIDE ( 587) 587 FT W/O 22ND AVE NW (NW56-22-53)                                                                                                                                                                                        ,K044,11044004,Ballard,Edge,S
503,(47.66098469700006: -122.31555178899998),529957,1601,1567,PSL-L071,12TH AVE NE 0430 BLOCK W SIDE ( 401) 401 FT N/O NE 43RD ST (NE12-43-39)                                                                                                                                                                                        ,L071,12071002,University District,Core,W
504,(47.65541283600004: -122.31249468899995),529836,39293,16735,PSL-L126,NE 40TH ST 0140 BLOCK N SIDE ( 173) 173 FT E/O UNIVERSITY WAY NE (NE40-14-16)                                                                                                                                                                                  ,L126,12126002,University District,Core,N
505,(47.66432394700007: -122.31731301099995),529885,57902,12600,PSL-L162,ROOSEVELT WAY NE 0470 BLOCK E SIDE ( 420) 420 FT N/O NE 47TH ST (NERW-47-30)                                                                                                                                                                                   ,L162,12162004,University District,Edge,E
506,(47.61375690700004: -122.34497170899999),529485,25710,2763,PSL-J024,2ND AVE 0220 BLOCK NE SIDE ( 218) 218 FT NW/O BLANCHARD ST (02-22-16)                                                                                                                                                                                          ,J024,10024002,Belltown,South,NE
507,(47.66198650200005: -122.31529365399996),529705,46766,1568,PSL-L116,12TH AVE NE 0450 BLOCK E SIDE ( 233) 233 FT N/O NE 45TH ST (NE12-45-20)                                                                                                                                                                                        ,L116,12116602,University District,Core,E
508,(47.66382047900004: -122.31731844699999),529884,57902,12600,PSL-L161,ROOSEVELT WAY NE 0470 BLOCK E SIDE ( 236) 236 FT N/O NE 47TH ST (NERW-47-18)                                                                                                                                                                                   ,L161,12161004,University District,Edge,E
509,(47.61112612100004: -122.32207580299996),529467,9422,9370,PSL-H097,BOYLSTON AVE 0100 BLOCK NE SIDE ( 133) 133 FT NW/O MADISON ST (BN-10-10)                                                                                                                                                                                       ,H097,8097002,First Hill,,NE
510,(47.61738133800003: -122.33965461699995),340684,8393,8286,PSL-W013,8TH AVE 0220 BLOCK SW SIDE (  94) 94 FT NW/O BLANCHARD ST (08-22-05)                                                                                                                                                                                           ,W013,21013004,Denny Triangle,North,SW
511,(47.66425688800007: -122.31298048999997),529925,35850,13223,PSL-L055,UNIVERSITY WAY NE 0470 BLOCK E SIDE ( 405) 405 FT N/O NE 47TH ST (NEUW-47-36)                                                                                                                                                                                  ,L055,12055002,University District,Core,E
512,(47.59759711500004: -122.32461727599997),281144,66617,21533,PSL-M058,S WELLER ST 0065 BLOCK N SIDE (  88) 88 FT E/O MAYNARD AVE S (S6-06-54)                                                                                                                                                                                        ,M058,13058002,Chinatown/ID,Core,N
513,(47.611471178000045: -122.32494189599998),533941,80745,12782,PSL-H512,SENECA ST 0120 BLOCK NW SIDE ( 112) 112 FT NE/O MINOR AVE (12-12-08)                                                                                                                                                                                           ,H512,8512002,First Hill,,NW
514,(47.623681703000045: -122.33288970499996),336847,57198,11889,PSL-U113,MINOR AVE N 0050 BLOCK E SIDE ( 188) 188 FT N/O REPUBLICAN ST (NMR-05-16)                                                                                                                                                                                      ,U113,19113010,South Lake Union,South,E
515,(47.61813809000006: -122.34775173799994),540287,32433,9643,PSL-J503,CEDAR ST 0040 BLOCK NW SIDE ( 116) 116 FT NE/O 4TH AVE (27-04-08)                                                                                                                                                                                              ,J503,10503004,Belltown,North,NW
516,(47.61927904500004: -122.34222928499997),338059,55370,10071,PSL-U293,DEXTER AVE N 0010 BLOCK E SIDE ( 248) 248 FT N/O DENNY WAY (NDR-01-22)                                                                                                                                                                                         ,U293,19293002,South Lake Union,South,E
517,(47.656577060000075: -122.31564734999995),529938,69485,1564,PSL-L065,12TH AVE NE 0403 BLOCK W SIDE ( 109) 109 FT N/O NE CAMPUS WB PY (NE12-40-59)                                                                                                                                                                                   ,L065,12065002,University District,Core,W
518,(47.60346702700008: -122.33427518099995),527874,32546,9728,PSL-A129,COLUMBIA ST 0010 BLOCK SE SIDE ( 153) 153 FT NE/O 1ST AVE (8-01-13)                                                                                                                                                                                            ,A129,1129002,Pioneer Square,Core,SE
519,(47.66475326700004: -122.31432206699998),529819,32289,9483,PSL-L029,BROOKLYN AVE NE 0470 BLOCK W SIDE ( 583) 583 FT N/O NE 47TH ST (NEBN-47-51)                                                                                                                                                                                    ,L029,12029002,University District,Core,W
520,(47.66346283000007: -122.31412283299994),529812,32290,9483,PSL-L024,BROOKLYN AVE NE 0470 BLOCK E SIDE ( 112) 112 FT N/O NE 47TH ST (NEBN-47-08)                                                                                                                                                                                    ,L024,12024002,University District,Core,E
521,(47.607195604000026: -122.33003031499999),529477,79574,11587,PSL-D087,MADISON ST 0060 BLOCK SE SIDE ( 165) 165 FT NE/O 6TH AVE (10-06-15)                                                                                                                                                                                            ,D087,4087002,Commercial Core,Financial,SE
522,(47.62305535000007: -122.33353023299998),335417,12550,12565,PSL-U059,REPUBLICAN ST 0115 BLOCK S SIDE ( 162) 162 FT E/O FAIRVIEW AVE N (N5-11-65)                                                                                                                                                                                    ,U059,19059002,South Lake Union,South,S
523,(47.609422315000074: -122.33507096099999),531870,35798,13182,PSL-E518,UNION ST 0040 BLOCK SE SIDE ( 161) 161 FT NE/O 4TH AVE (14-04-13)                                                                                                                                                                                              ,E518,5518002,Commercial Core,Retail,SE
524,(47.61253069700007: -122.323352968),529437,54610,9372,PSL-H052,BOYLSTON AVE 0120 BLOCK NE SIDE ( 124) 124 FT NW/O SENECA ST (BN-12-10)                                                                                                                                                                                        ,H052,8052002,First Hill,,NE
525,(47.61215578300005: -122.32859089499999),540011,13170,13186,PSL-H562,UNION ST 0100 BLOCK SE SIDE ( 126) 126 FT NE/O TERRY AVE (14-10-09)                                                                                                                                                                                            ,H562,8562002,First Hill,,SE
526,(47.615788491000046: -122.34748048099999),282407,58685,13356,PSL-J275,WALL ST 0020 BLOCK NW SIDE ( 165) 165 FT NE/O 2ND AVE (25-02-12)                                                                                                                                                                                               ,J275,10275004,Belltown,North,NW
527,(47.62280414700007: -122.33985985299995),339408,76433,8532,PSL-U333,9TH AVE N 0040 BLOCK W SIDE ( 257) 257 FT N/O HARRISON ST (N09-04-23)                                                                                                                                                                                          ,U333,19333010,South Lake Union,South,W
528,(47.61299559300005: -122.34457526299997),529523,9354,9291,PSL-J091,BLANCHARD ST 0010 BLOCK SE SIDE ( 187) 187 FT NE/O 1ST AVE (22-01-15)                                                                                                                                                                                          ,J091,10091202,Belltown,South,SE
529,(47.612992759000065: -122.34169508199994),529489,4434,4387,PSL-J030,3RD AVE 0200 BLOCK NE SIDE ( 271) 271 FT NW/O VIRGINIA ST (03-20-24)                                                                                                                                                                                           ,J030,10030002,Belltown,South,NE
530,(47.65895039800006: -122.31211909599995),529930,2085,2033,PSL-L059,15TH AVE NE 0420 BLOCK W SIDE ( 221) 221 FT N/O NE 42ND ST (NE15-42-19)                                                                                                                                                                                        ,L059,12059002,University District,Core,W
531,(47.603404813000054: -122.33247462399999),531868,77545,9660,PSL-A136,CHERRY ST 0020 BLOCK NW SIDE ( 195) 195 FT NE/O 2ND AVE (7-02-16)                                                                                                                                                                                              ,A136,1136002,Pioneer Square,Core,NW
532,(47.61235835000008: -122.32189268399998),529469,10877,10838,PSL-H101,HARVARD AVE 0110 BLOCK SW SIDE ( 196) 196 FT NW/O SPRING ST (HD-11-17)                                                                                                                                                                                         ,H101,8101002,First Hill,,SW
533,(47.61127471400005: -122.34551394099998),540935,55474,10200,PSL-B523,ELLIOTT AVE 0210 BLOCK S SIDE ( 154) 154 FT W/O LENORA ST (OE-21-3T)                                                                                                                                                                                           ,B523,2523002,Belltown,South,S
534,(47.608254884000075: -122.32522372699998),529432,34306,11671,PSL-H038,MARION ST 0100 BLOCK SE SIDE (  83) 83 FT NE/O TERRY AVE (9-10-05)                                                                                                                                                                                             ,H038,8038002,First Hill,,SE
535,(47.60787383500008: -122.32613495299995),534969,11670,11670,PSL-H567,MARION ST 0090 BLOCK SE SIDE ( 136) 136 FT NE/O 9TH AVE (9-09-11)                                                                                                                                                                                              ,H567,8567002,First Hill,,SE
536,(47.66806924300005: -122.38460754399995),279727,48450,3279,PSL-K047,22ND AVE NW 0540 BLOCK E SIDE ( 137) 137 FT N/O BALLARD AVE NW (NW22-54-08)                                                                                                                                                                                    ,K047,11047002,Ballard,Core,E
537,(47.63022581100006: -122.34064046499998),337630,81510,13550,PSL-T004,WESTLAKE EAST RDWY AVE N 0120 BLOCK E SIDE ( 158) 158 FT N/O HIGHLAND DR (NXE4-12-065)                                                                                                                                                                         ,T004,18004007,Westlake Ave N,,E
538,(47.66010075600008: -122.31536398299994),529940,1602,1567,PSL-L066,12TH AVE NE 0430 BLOCK E SIDE (  82) 82 FT N/O NE 43RD ST (NE12-43-08)                                                                                                                                                                                         ,L066,12066002,University District,Core,E
539,(47.617765044000066: -122.32951737299999),568554,33677,10965,PSL-W124,HOWELL ST 0130 BLOCK NW SIDE (  80) 80 FT NE/O YALE AVE (18-13-06)                                                                                                                                                                                             ,W124,21124004,Denny Triangle,North,NW
540,(47.61337203200003: -122.34473337999998),529486,25709,2763,PSL-J025,2ND AVE 0220 BLOCK SW SIDE (  90) 90 FT NW/O BLANCHARD ST (02-22-05)                                                                                                                                                                                           ,J025,10025002,Belltown,South,SW
541,(47.61039779500004: -122.32140633799997),529453,54606,9369,PSL-H094,BOYLSTON AVE 0090 BLOCK NE SIDE ( 137) 137 FT NW/O MARION ST (BN-09-10)                                                                                                                                                                                        ,H094,8094002,First Hill,,NE
542,(47.613835676000065: -122.34838481899999),540659,54305,9072,PSL-B508,BATTERY ST 0007 BLOCK NW SIDE ( 124) 124 FT NE/O WESTERN AVE (24-00-58)                                                                                                                                                                                        ,B508,2508004,Belltown,North,NW
543,(47.61386041500003: -122.34996176199996),540852,35941,13353,PSL-B515,WALL ST 0005 BLOCK NW SIDE ( 196) 196 FT NE/O ELLIOTT AVE (25-00-16)                                                                                                                                                                                           ,B515,2515004,Belltown,North,NW
544,(47.62413707400003: -122.35400469499996),529480,81422,13433,PSL-S129,WARREN AVE N 0050 BLOCK E SIDE ( 318) 318 FT N/O REPUBLICAN ST (NWN-05-28)                                                                                                                                                                                     ,S129,17129004,Uptown,Edge,E
545,(47.661952822000046: -122.31665114299994),279826,69305,1409,PSL-L187,11TH AVE NE 0450 BLOCK W SIDE ( 219) 219 FT N/O NE 45TH ST (NE11-45-15)                                                                                                                                                                                        ,L187,12187004,University District,Edge,W
546,(47.60668317600005: -122.32660913299998),531884,32554,9734,PSL-H527,COLUMBIA ST 0080 BLOCK SE SIDE ( 140) 140 FT NE/O 8TH AVE (8-08-11)                                                                                                                                                                                            ,H527,8527002,First Hill,,SE
547,(47.62001403700003: -122.35794556299999),284063,24266,1239,PSL-S081,1ST AVE W 0020 BLOCK E SIDE (  70) 70 FT N/O W JOHN ST (W01-02-02)                                                                                                                                                                                             ,S081,17081004,Uptown,Edge,E
548,(47.61622160300004: -122.34269625599995),529694,77122,9202,PSL-J120,BELL ST 0050 BLOCK SE SIDE (  86) 86 FT NE/O 5TH AVE (23-05-07)                                                                                                                                                                                                ,J120,10120002,Belltown,South,SE
549,(47.62059676300004: -122.35813618199995),284066,24265,1239,PSL-S084,1ST AVE W 0020 BLOCK W SIDE ( 280) 280 FT N/O W JOHN ST (W01-02-23)                                                                                                                                                                                            ,S084,17084004,Uptown,Edge,W
550,(47.662649413000054: -122.31206967699995),529936,25041,2035,PSL-L064,15TH AVE NE 0450 BLOCK W SIDE ( 486) 486 FT N/O NE 45TH ST (NE15-45-43)                                                                                                                                                                                        ,L064,12064304,University District,Edge,W
551,(47.65690611100007: -122.31374960599999),529402,84653,16756,PSL-L081,NE 41ST ST 0130 BLOCK N SIDE ( 144) 144 FT E/O BROOKLYN AVE NE (NE41-13-10)                                                                                                                                                                                    ,L081,12081002,University District,Core,N
552,(47.613187021000044: -122.35083284599995),540857,58677,13352,PSL-B514,WALL ST 0002 BLOCK NW SIDE ( 139) 139 FT NE/O ALASKAN WAY (25-0X-62)                                                                                                                                                                                           ,B514,2514004,Belltown,North,NW
553,(47.614720945000045: -122.35185309199994),540833,9674,9638,PSL-B517,CEDAR ST 0006 BLOCK SE SIDE ( 125) 125 FT NE/O ELLIOTT AVE (27-00-11)                                                                                                                                                                                          ,B517,2517004,Belltown,North,SE
554,(47.615470757000026: -122.33836308099995),528205,53429,8163,PSL-J148,7TH AVE 0202 BLOCK SW SIDE ( 134) 134 FT NW/O WESTLAKE AVE (07-20--19/21)                                                                                                                                                                                      ,J148,10148002,Denny Triangle,South,SW
555,(47.613877682000066: -122.33572455199999),528192,30969,8160,PSL-J145,7TH AVE 0180 BLOCK SW SIDE ( 142) 142 FT NW/O OLIVE WAY (07-18-13)                                                                                                                                                                                             ,J145,10145002,Denny Triangle,South,SW
556,(47.61532187000006: -122.32278401499997),528161,14697,14632,PSL-G018,E PINE ST 0070 BLOCK N SIDE ( 144) 144 FT E/O BOYLSTON AVE (E16-07-14)                                                                                                                                                                                         ,G018,7018002,Pike-Pine,,N
557,(47.61637034100005: -122.34145684999999),528051,53126,7891,PSL-W137,6TH AVE 0220 BLOCK NE SIDE ( 187) 187 FT NW/O BLANCHARD ST (06-22-16)                                                                                                                                                                                          ,W137,21137004,Denny Triangle,North,NE
558,(47.616213566000056: -122.34161670299994),528050,53125,7891,PSL-W138,6TH AVE 0220 BLOCK SW SIDE ( 179) 179 FT NW/O BLANCHARD ST (06-22-15)                                                                                                                                                                                          ,W138,21138004,Denny Triangle,North,SW
559,(47.609615330000054: -122.33318811499998),527997,7989,7880,PSL-E068,6TH AVE 0130 BLOCK SW SIDE ( 191) 191 FT NW/O UNIVERSITY ST (06-13-17)                                                                                                                                                                                         ,E068,5068002,Commercial Core,Retail,SW
560,(47.619605929000045: -122.32098978599998),527968,9469,9451,PSL-F013,BROADWAY E 0010 BLOCK W SIDE ( 303) 303 FT N/O E DENNY WAY (EBY-01-25)                                                                                                                                                                                         ,F013,6013002,Capitol Hill,South,W
561,(47.61010973400005: -122.34104943399996),527937,68914,1010,PSL-E032,1ST AVE 0160 BLOCK NE SIDE (  92) 92 FT NW/O PINE ST (01-16-06)                                                                                                                                                                                                ,E032,5032002,Commercial Core,Retail,NE
562,(47.60304939500003: -122.33487443399997),527875,1001,1001,PSL-A130,1ST AVE 0070 BLOCK SW SIDE ( 211) 211 FT NW/O CHERRY ST (01-07-19)                                                                                                                                                                                             ,A130,1130502,Pioneer Square,Core,SW
563,(47.612296042000025: -122.34774658299995),527773,32018,9196,PSL-B081,BELL ST 0005 BLOCK SE SIDE ( 125) 125 FT NE/O ELLIOTT AVE (23-00-09)                                                                                                                                                                                           ,B081,2081002,Belltown,South,SE
564,(47.614169539000045: -122.33971881699995),529511,7258,7243,PSL-J056,5TH AVE 0200 BLOCK NE SIDE ( 188) 188 FT NW/O VIRGINIA ST (05-20-14)                                                                                                                                                                                           ,J056,10056002,Belltown,South,NE
565,(47.62258127000007: -122.34093570799996),339143,76202,8290,PSL-U320,8TH AVE N 0040 BLOCK E SIDE ( 171) 171 FT N/O HARRISON ST (N08-04-14)                                                                                                                                                                                          ,U320,19320002,South Lake Union,South,E
566,(47.625327096000035: -122.34177690999996),341625,80654,12690,PSL-U246,ROY ST 0075 BLOCK S SIDE ( 101) 101 FT E/O DEXTER AVE N (N7-07-59)                                                                                                                                                                                             ,U246,19246010,South Lake Union,NorthWest,S
567,(47.61570909100004: -122.34103341399998),596731,77226,9295,PSL-J344,BLANCHARD ST 0050 BLOCK SE SIDE ( 218) 218 FT NE/O 5TH AVE (22-05-19)                                                                                                                                                                                          ,J344,10344002,Belltown,South,SE
568,(47.620282462000034: -122.34096811199998),338512,76198,8288,PSL-U306,8TH AVE N 0020 BLOCK E SIDE ( 185) 185 FT N/O JOHN ST (N08-02-12)                                                                                                                                                                                              ,U306,19306002,South Lake Union,South,E
569,(47.616913906000036: -122.34675748099994),282070,28957,6142,PSL-J250,4TH AVE 0250 BLOCK SW SIDE ( 143) 143 FT NW/O WALL ST (04-25-11)                                                                                                                                                                                               ,J250,10250004,Belltown,North,SW
570,(47.66755221100004: -122.39734763099995),277103,94731,274367,PSL-K005,NW 54TH SR ST 0300 BLOCK N SIDE ( 289) 289 FT W/O 30TH WR AVE NW (NW54-30-40)                                                                                                                                                                                  ,K005,11005004,Ballard Locks,,N
571,(47.620293297000046: -122.33832033099998),338386,13550,13533,PSL-U097,WESTLAKE AVE N 0020 BLOCK E SIDE ( 196) 196 FT N/O JOHN ST (NX4-02-06)                                                                                                                                                                                         ,U097,19097002,South Lake Union,South,E
